volume|issue|url|title|abstract
50|-|http://www.sciencedirect.com/science/journal/01641212/50|The âmaintenance-firstâ software era|
50|-||Domain analysis for software reuse|A theory of domain knowledge is proposed that consists of `grounded domains' that model a set of cooperating objects that achieve a purpose. Grounded domains have spatial presence in the real world and contain agents that act on objects within a context of structures. More complex meta-domains use grounded domains as their subject matter and describe education, management, etc. The third component of the theory, generic tasks, describes problem solving activity such as diagnosis, searching, planning and scheduling. Generic tasks describe the behavioural components in both grounded and meta-domains. The reusable library of generic models is applied to the design of interactive systems by reusing the models as templates, and to reuse design knowledge in the form of associated design rationale. A process for recognising generic models is described with recognition heuristics structured in a walkthrough type of analysis for identifying key abstractions in new applications. The design process is illustrated with an information retrieval case study developed as a decision support system for emergency management, reusing information searching services. The discussion reviews the prospects for reusable patterns in interactive systems design, and similar approaches in software and knowledge engineering. 
50|-||A problem-oriented and rule-based component repository|Repository-based component reuse is an important technique for raising the efficiency of software development. Traditional approaches focus only on repository organisation and retrieval techniques. This paper proposes a problem-oriented component reuse framework through incorporating a problem-solving mechanism with the traditional component repository. The framework improves the traditional approaches in two aspects. Firstly, the reuse is promoted from the component level to the problem-solving level. User is encouraged to concentrate on the problem description and solving problem through top-down refinement rather than plunge into the technique details at the beginning. Secondly, the environment evolution during running the candidate components for composing an application is simulated through case-based rule reasoning. The candidate components are dynamically checked before composing an application system. We have designed a model base system for the application in scientific computing field based on the framework. The application and analysis show the approach feasible. 
50|-||An architecture for software that adapts to changes in requirements|The goal of the research presented in this paper was to study a new software paradigm – adaptive software – in which the structure of an adaptive program is patterned upon the structure of an adaptive controller. Towards this aim, we implemented a domain-specific (object/target recognition) program (A Reconfigurable Architecture for Adapting to Changes in the Requirements (RAACR)) that can adapt to changes in software requirements through the incorporation of feedback. RAACR is a hierarchy of domains (blackboards). Each domain includes multiple knowledge sources (KSs) and a domain scheduler (DS). In response to feedback, KSs change their processing parameters, while DSs change the scheduling policy of the KSs. A generic communication mechanism is implemented on the CORBA compliant SPRING operating system. The adaptability of the program is evaluated quantitatively using a requirements volatility measure and the probability of correct recognition. 
50|-||The impact of software architecture reuse on development processes and standards|We have developed an architecture for distributed simulations with reuse in mind from the start. During the past six years, two teams on five projects at US Army Tank-Automotive and Armaments Command (TACOM) have used it. We found that in order to reuse the architecture, it was not only necessary to design it for reuse but also to develop and provide associated development processes and standards for reuse. Not only its functionality for the task to be performed, but also its resultant impact on the software development process determine acceptance of an architecture for reuse. Software reuse is similar to both software tool assessment/technology transfer and requirements analysis in that in all three cases one needs to assess not only product functionality but also its resultant impact on the way that the users of the product work. The DoD is now mandating the use of the High Level Architecture Standard (HLA) for distributed military simulations. Because of our experience in architecture reuse, we realize that HLA adoption will impact not only our product, but also the way we work. In addition to examining HLA functionality, we are assessing HLA's impact on our existing development processes and standards. 
50|-||State restoration in Ada 95: a portable approach to supporting software fault tolerance|Studies indicate that techniques for tolerating hardware faults are so effective that software designerrors are the leading cause of all faults encountered. To handle these unanticipated software faults, two main approaches have been proposed: N-versionprogramming and recoveryblocks. Both are based on the concept of designdiversity: the assumption that different designs will exhibit different faults (if any) for the same inputs and will, therefore, provide alternatives for each other. Both approaches have advantages, but this paper focuses upon recovery blocks; specifically, the requirement to save and restore application state. Judicious saving of state has been described as “checkpointing” for over a decade. Using the object-oriented features of the revised Ada language (Ada 95) – a language widely used in this domain – we present three portable implementations of a checkpointing facility and discuss the trade-offs offered by each. Results of the implementation of these mechanisms are used to highlight both the strengths and weaknesses of some of the object-oriented features of Ada. We then show a reusable implementation of recovery blocks illustrating the checkpointing schemes. A performance analysis is made and measurements are presented in support of the analysis. 
50|1|http://www.sciencedirect.com/science/journal/01641212/50/1|Y2K behind us: smooth sailing and blue skies?|
50|1||An encompassing life cycle centric survey of software inspection|This paper contributes an integrated survey of the work in the area of software inspection. It consists of two main sections. The first one introduces a detailed description of the core concepts and relationships that together define the field of software inspection. The second one elaborates a taxonomy that uses a generic development life-cycle to contextualize software inspection in detail.After Fagan's seminal work presented in 1976, the body of work in software inspection has greatly increased and reached measured maturity. Yet, there is still no encompassing and systematic view of this research body driven from a life-cycle perspective. This perspective is important since inspection methods and refinements are most often aligned to particular life-cycle artifacts. It also provides practitioners with a roadmap available in their terms.To provide a systematic and encompassing view of the research and practice body in software inspection, the contribution of this survey is, in a first step, to introduce in detail the core concepts and relationships that together embody the field of software inspection. This lays out the field key ideas and benefits and elicits a common vocabulary. There, we make a strong effort to unify the relevant vocabulary used in available literature sources. In a second step, we use this vocabulary to build a contextual map of the field in the form of a taxonomy indexed by the different development stages of a generic process. This contextual map can guide practitioners and focus their attention on the inspection work most relevant to the introduction or development of inspections at the level of their particular development stage; or to help motivate the use of software inspection earlier in their development cycle.Our work provides three distinct, practical benefits: First, the index taxonomy can help practitioners identify inspection experience directly related to a particular life-cycle stage. Second, our work allows structuring of the large amount of published inspection work. Third, such taxonomy can help researchers compare and assess existing inspection methods and refinements to identify fruitful areas of future work. 
50|1||Software management and cost estimating error|Software cost estimating is an important concern for software managers and other software professionals. The hypothesized model in this research suggests that an organization's use of an estimate influences its estimating practices which influence both the basis of the estimating process and the accuracy of the estimate. The model also suggests that the estimating basis directly influences the accuracy of the estimate. A study of business information systems managers and professionals at 112 different organizations refined the model.The refined model shows that no managerial practice in this study discourages the use of intuition, guessing, and personal memory in cost estimating. Although user commitment and accountability appear to foster algorithm-based estimating, such an algorithmic basis does not portend greater accuracy. Only one managerial practice – the use of the estimate in performance evaluations of software managers and professionals – presages greater accuracy. By implication, the research suggests somewhat ironically that the most effective approach to improve estimating accuracy may be to make estimators, developers, and managers more accountable for the estimate even though it may be impossible to direct them explicitly on how to produce a more accurate one. 
50|1||An analysis of factors affecting software reliability|This paper presents the findings of empirical research from 13 companies participating in software development to identify the factors that may impact software reliability. Thirty-two potential factors involved in every stage of the software development process are defined. The study uses a survey instrument to analyze these factors and identify factors that have significant impact on software reliability. The survey focuses on the perspective of the primary participants, managers, system engineers, programmers, testers and other people involved in software research or development teams. Two techniques such as the relative weight method and analysis of variance technique (ANOVA) have been used to analyze all factors and rank them in terms of their impact on software reliability. The research findings have important implications for further research and the practice of software development. For researchers, it points to improvement schemes of existing reliability modeling and factors that may be further verified and extended in subsequent research. For practitioners, it provides a general guide to the important aspects to consider in the whole software development process. 
