volume|issue|url|title|abstract
41|1|http://www.sciencedirect.com/science/journal/09505849/41/1|A unified characterisation for shared multimedia CSCW workspace designs|The target of this study is synchronous multimedia computer systems for co-operative work, which makes extensive use of shared workspaces, supporting both visual and audio presentations. This article develops a formal method for describing shared CSCW workspace designs through a unifying multidimensional characterisation scheme. The scheme consists of a system of taxonomic characters (TCs), and a formal notation to specify the inherent interdependencies among the design choices. This article introduces the notion, and discusses the issues of completeness and coherence of the system. The scheme is then applied to two aspects of Multimedia CSCW: shared workspaces and floor control. Particular attention is paid to provide a unified view of both the audio and visual components, by showing how they can both be treated uniformly using the same characterisaton. Finally, the notion of control shadowing for shared workspaces is presented and is described using a special notation, the notation of control whizzies.
41|1||Testing syntax and semantic coverage of Java language compilers|Software testing is a critical and important stage of the application software development life-cycle. Testing is a verification activity that affects the overall software quality. The verification of critical and dependable computer software such as real-time safety-critical software systems consumes about 50% of the project time. In this work, we consider testing compilers. Since a compiler is a highly usable software, an increased emphasis on reliability requires a careful testing before releasing the compiler. In compiler testing, the compiler implementation is verified to conform to the specified language syntax and semantic available in the standard language documentation. In this work, an algorithm is designed and a tool is developed to automate the generation of test cases to check the language syntax. In addition, we propose a heuristic approach to cover language semantics. Since Java is a relatively new programming language, we concentrate on testing the adherence of new Java compilers to the language syntax and semantics.
41|1||Improving risk management: moving from risk elimination to risk avoidance|This study has examined software reliability using a risk management framework to analyze popular risk management models with regard to their emphasis on risk avoidance. Too often, risk reduction occurs late in the software development life cycle when changes are costly and less effective. We suggest that early risk avoidance techniques, like the cleanroom software development process and its sub-process of software inspections, leads to superior products. Our approach is different from the current mainstream approach of testing to eliminate errors because we propose using risk models that emphasize preventive risk management early in development. We argue that the use of risk avoidance leads to benefits that far outweigh the cost of implementation.
41|1||Life-cycle of a dual object-oriented specification model for real-time systems1|
41|10|http://www.sciencedirect.com/science/journal/09505849/41/10|Using KBS verification techniques to demonstrate the existence of rule anomalies in ADBs|
41|10||Formalization and verification of event-driven process chains|For many companies, business processes have become the focal point of attention. As a result, many tools have been developed for business process engineering and the actual deployment of business processes. Typical examples of these tools are Business Process Reengineering (BPR) tools, Enterprise Resource Planning (ERP) systems, and Workflow Management (WFM) systems. Some of the leading products, e.g. SAP R/3 (ERP/WFM) and ARIS (BPR), use Event-driven Process Chains (EPCs) to model business processes. Although the EPCs have become a widespread process modeling technique, they suffer from a serious drawback: neither the syntax nor the semantics of an EPC are well defined. In this paper, this problem is tackled by mapping EPCs (without connectors of type ∨) onto Petri nets. The Petri nets have formal semantics and provide an abundance of analysis techniques. As a result, the approach presented in this paper gives formal semantics to EPCs. Moreover, many analysis techniques are available for EPCs. To illustrate the approach, it is shown that the correctness of an EPC can be checked in polynomial time by using Petri-net-based analysis techniques.
41|10||Control-flow semantics of use cases in UML|The control-flow for five kinds of use cases is analysed: for common use cases, variant use cases, component use cases, specialised use cases and for ordered use cases. The control-flow semantics of use cases—and of the uses-relation, the extends-relation and the precedes-relation between use cases—is described in terms of flowgraphs. Sequence diagrams of use cases are refined to capture the control-flow adequately. Guidelines are given for use case descriptions to attain a well-defined flow of control.
41|10||Look before you leap: on some fundamental issues in software engineering research|In science, clear definition and rigorous representation are of prime importance. Recently, Briand et al. (IEEE TSE 22 (1) (1996) 68–85) proposed to clarify ambiguous software quality concepts such as size and complexity through a definition based on their intuitive properties. A seemingly rigorous and generic system representation, suitable for analyzing software described with existing tools, is also advanced. We justify that their property-based definitions for these concepts are logically untenable and practically misleading. We demonstrate further that their representation is still vague and searching for a general system representation is doomed to failure and cases of refutation are provided. In addition, we prove that all the system definitions, even for the very limited practical case of programs, are flawed. Finally, we elucidate with Briand et al.'s examples that theoretic representation must be validated, set theory seems incompatible with programs, and reasoning by analogy could be misleading. Our in-depth analysis illustrates that formality is but skin-deep and we must be aware of the danger of ignoring the most important methodological rigor in software engineering research.
41|10||FHIN: an efficient storage structure and access method for object-oriented databases|While relational database technology has dominated the database field for more than a decade, object-oriented database (OODB) technology has recently gained a lot of attention in the database community. Many researchers are concerned about the performance of OODBs. This paper proposes an OODB design methodology called fragmented hash-indexed (FHIN) that is aimed at improving the operating performance of OODBs. The FHIN model's storage structure contains an Instances–Classes Table (ICT) with a two-segment data design. Query processing is done by accessing data segments through ICT with an algorithm introduced here. The FHIN model uses three access methods: hashing, indexing, or hash-indexing. The database performance of FHIN is compared to two previous access methods using 1050 simulation runs. Results indicate that the FHIN model is 43% better than either of the other models in smaller databases, 65% better in larger databases, 50% better under conditions of high updating, and 72% better under conditions of low updating. These results suggest that FHIN methodology has promise and is worthy of exploration and OODB software development.
41|11-12|http://www.sciencedirect.com/science/journal/09505849/41/11-12|Communications software engineering (CSE)|
