volume|issue|url|title|abstract
6|1|http://www.jucs.org/jucs_6_1|Automata, Logic, and Computability: J.UCS Special Issue Dedicated to Professor Sergiu Rudeanu Festschrift|
6|1||Under the Sign of Boole|  Solomon Marcus (Romanian Academy, Mathematics, Romania)  Abstract: The note presents some personal thoughts on  Professor S. Rudeanu's scientific and human personality.        Keywords: Boolean logic, language and algebra, thought               Categories: F.4.0  
6|1||Weak Inclusion Systems: Part Two|  Virgil Emil Cazanescu (Fundamentals of Computer Science, Faculty of Mathematics, University of Bucharest, Romania)   Grigore Rosu (Department of Computer Science and Engineering, University of California, USA)  Abstract: New properties and implications of inclusion  systems are investigated in the present paper. Many properties of lattices, factorization systems and special practical cases can be abstracted and adapted to our framework, making the various versions of inclusion systems useful tools for computer scientists and mathematicians.        Keywords: category theory, logic               Categories: F.4.1  
6|1||The Lattice Structure of Pseudo_Wajsberg Algebras|  Rodica Ceterchi (Faculty of Mathematics,  Academiei 14, Bucharest University, Romania)  Abstract: We explore some properties related to the underlying lattice structure of pseudo-Wajsberg algebras. We establish a residuation result and we characterize the Boolean center of pseudo-Wajsberg algebras.        Keywords: Boolean center, MV algebra, Wajsberg algebra, lattice, pseudo-MV algebra, pseudo-Wajsberg algebra, residuated monoid               Categories: F.4.1  
6|1||A Pi-Calculus Machine|" -calculus"">top.name=""UJSeries_Window"";   Gabriel Ciobanu (Department of Computer Science, Romania)   Mihai Rotaru (Institute of Theoretical Computer Science, Romanian Academy, Romania)  Abstract: In this paper we investigate the -calculus  guards, proposing a formalism which use exclusively machine tradition concepts: state, resource, transition. The reduction mechanism is similar to the token-game of Petri nets. We provide a multiset semantics for the -calculus by using this formalism. Moreover, our machines have a graphical representation which emphasizes their structure. As a consequence, we give a new improved graphical representation for the asynchronous -calculus.        Keywords: -calculus, abstract machine, concurrent processes, graphical representation of processes, multiset semantics, nets               Categories: F.3.1  "
6|1||Galois Connections and Data Mining|  Dana Cristofor (University of Massachusetts at Boston, Department of Mathematics and Computer Science, USA)   Laurentiu Cristofor (University of Massachusetts at Boston, Department of Mathematics and Computer Science, USA)   Dan A. Simovici (University of Massachusetts at Boston, Department of Mathematics and Computer Science, USA)  Abstract:   We investigate the application of Galois connections to the identification of frequent item sets, a central problem in data mining.  Starting from the notion of closure generated by a Galois connection, we define the notion of extended closure, and we use these notions to improve the classical Apriori algorithm.  Our experimental study shows that in certain situations, the algorithms that we describe outperform the Apriori algorithm. Also, these algorithms scale up linearly.    Keywords: Galois connection, closure, extended closure, frequent set of items, support               Categories: E.5, H.2.0  
6|1||Behavioural Coherence in Object-Oriented Algebraic Specification|  Razvan Diaconescu (Institute of Mathematics of the Romanian Academy, Romania)   Kokichi Futatsugi (Japan Advanced Institute of Science and Technology, Japan)  Abstract:   We extend the classical hidden algebra formalism by a re-arrangement of the basic concepts. This re-arrangement of the hidden algebra formalism permits an extension to novel concepts which bring new practical strength to the specification and verification methodologies. The main novel concept, which constitutes the core of this work, is that of behavioural coherence, which is essentially a property of preservation of behavioural structures. We define this concept and study its main denotational and computational properties, and also show how the extension of hidden algebra with behavioural coherence still accommodates the coinduction proof method advocated by classical hidden algebra and, very importantly, permits operations with several hidden sorts in the arity. The emphasis of this paper is however on the methodologies related to behavioural coherence. We present the basic methodologies of behavioural coherence by means of examples actually run under the  system, including many proofs with the system exiled to appendices.    Keywords: behavioural coherence, behavioural equivalence, hidden algebra               Categories: F.3.2  
6|1||Monotone, Horn and Quadratic Pseudo-Boolean Functions|  Stephan Foldes (RUTCOR, Rutgers University, USA)   Peter L. Hammer (RUTCOR, Rutgers University, USA)  Abstract: A pseudo-Boolean function (pBf) is a mapping from {0,1}^n to the real numbers. It is known that pseudo-Boolean functions have polynomial representations, and it was recently shown that they also have disjunctive normal forms (DNFs). In this paper we relate the DNF syntax of the classes of monotone, quadratic and Horn pBfs to their characteristic inequalities.        Keywords: Binary optimization, Boolean functions, Horn functions, Set functions, Truth functions, pseudo-Boolean functions               Categories: F.4, G.2  
6|1||A Representation Theorem for Monadic Pavelka Algebras|  George Georgescu (Department of Fundamentals of Computer Science, Faculty of Mathematics, University of Bucharest, Romania)   Ioana Leustean (Department of Fundamentals of Computer Science, Faculty of Mathematics, University of Bucharest, Romania)  Abstract:   In this paper we define the monadic Pavelka algebras as algebraic structures induced by the action of quantifiers in Rational Pavelka predicate logic. The main result is a representation theorem for these structures.    Keywords: MV-algebra, Pavelka algebra, monadic Pavelka algebra, monadic V-algebra               Categories: F.4.1  
6|1||Mixed Relations as Enriched Semiringal Categories|  Radu Grosu (School for EECS, University of Pennsylvania, USA)   Dorel Lucanu (Faculty of Computer Science, A.I.Cuza University, Romania)   Gheorghe Stefanescu (Fundamentals of Computer Science, University of Bucharest, Romania)  Abstract: A study of the classes of finite relations as  enriched strict monoidal categories is presented in [CaS91]. The relations there are interpreted as connections in flowchart schemes, hence an angelic   theory of relations is used. Finite relations may be used to model the connections between the components of dataflow networks [BeS98, BrS96], as well. The corresponding algebras are slightly different enriched strict monoidal categories modeling a forward-demonic theory of relations.          In order to obtain a full model for parallel programs one needs to mix control and reactive parts, hence a richer theory of finite relations is needed. In this paper we (1) define a model of such mixed finite relations, (2) introduce enriched (weak) semiringal categories as an abstract algebraic model for these relations, and (3) show that the initial model of the axiomatization (it always exists) is isomorphic to the defined one of mixed relations. Hence the axioms gives a sound and complete axiomatization for the these relations.                   Keywords: (enriched) semiringal category, abstract data type, mixed relations, network  algebra, parallel programs               Categories: F.3.2  
6|1||Free-Extendible Prefix-Free Sets and an Extension of the Kraft-Chaitin Theorem|  Cristian Grozea (Faculty of Mathematics Bucharest University, Romania)  Abstract: First, the dual set of a finite prefix-free set is  defined. Using this notion we describe equivalent conditions for a finite prefix-free set to be indefinitely extendible. This lead to a simple proof for the Kraft-Chaitin Theorem. Finally, we discuss the influence of the alphabet size on the indefinite extensibility property.                   Keywords: Kraft's inequality, Prefix-free set               Categories: F.2.2, H.  
6|1||The Automorphism Group of a Hypercube|  Frank Harary (Applied Computational Intelligence Laboratory, Department of Electrical and Computer Engineering, University of Missouri, USA)  Abstract:   We present explicitly in this expository note the automorphism group of the hypercube Qd of dimension d as a permutation group acting on its 2d nodes. This group (Qd) acts on the node set Vd of Qd and thus has degree 2d. It is expressed as the binary operation called exponentiation which combines the two symmetric groups S2 (of degree and order 2) and Sd (of degree d and order d!). Specifically,  (Qd) = [S2]Sd.   has order 2dd!.   Keywords: automorphism group, hypercube, permutation graph               Categories: F.4.1  
