volume|issue|url|title|abstract
41|1|http://www.sciencedirect.com/science/journal/01641212/41/1|Editorial|
41|1||Software engineering practices in Singapore|A study on software engineering practices in Singapore was conducted in 1995. The study was conducted to gain an insight into the extent to which software engineering practices have been adopted by organisations in Singapore, the benefits these organisations have realised, the problems they face in implementing these practices and their perceptions on issues prevalent in the software engineering field. In the context of the study, “software engineering practices” refer to the models, techniques and tools used in the software engineering process. The study was conducted through a self-administered mail questionnaire survey sent to a number of organisations in Singapore. A total of 54 organisations responded to the survey. The results showed that the majority of organisations had adopted a formal system development methodology but relatively few were using software engineering tools. The respondents' perceptions towards the benefits and problems of implementing software engineering practices validated to a large extent the findings of other practitioners and researchers in the field.
41|1||Investments in reusable software. A study of software reuse investment success factors|This research supports the thesis that there is a set of success factors which are common across organizations and have some predictability relationships to software reuse. For completeness, this research also investigated to see if software reuse had a predictive relationship to productivity and quality. The individual success factors were grouped into the following categories: management commitment, investment strategy, business strategy, technology transfer, organizational structure, process maturity, product-line approach, software architecture, availability of components, and quality of components. A questionnaire was developed to measure software reuse capability, productivity, quality, and the set of software reuse success factors. A survey was conducted to determine the state-of-the practice. The data from the survey was statistically analyzed to evaluate the relationships among reuse capability, productivity, quality, and the individual software reuse success factors. The results of the analysis showed some of the success factors to have a predictive relationship to software reuse capability. Software reuse capability also had a predictive relationship to productivity and quality. Based on the research results, the leading indicators of software reuse capability are: product-line approach, architecture which standardizes interfaces and data formats, common software architecture across the product-line, design for manufacturing approach, domain engineering, management which understands reuse issues, software reuse advocate(s) in senior management, state-of-the-art tools and methods, precedence of reusing high level software artifacts such as requirements and design versus just code reuse, and trace end-user requirements to the components which support them.
41|1||Analyzing existing software for software reuse|This paper describes an automated method to support analysis of existing software at the start of a systematic reuse initiative. By determining a baseline level of informal reuse, this method can be used to help identify promising domains for initial implementation of systematic reuse and provide information that may affect calculation of return on investment in reuse. It can also be used in conjunction with domain analysis to help identify ideas for reusable components. The method draws on techniques developed for detecting plagiarized student programs. The paper presents results of three case studies that used a prototype tool called SoftKin to test this approach on commercial application software. The case studies indicate that the results from plagiarism detection transfer nicely to the task of analyzing existing software for reuse.
41|1||The use of immense memories for database systems: A pragmatic approach|We examine the cost and performance advantages of immense main memories and of the use of extended storage units for a wide range of database applications. Most database systems are required to guarantee a close to absolute degree of data integrity. This requirement is a serious limitation on the usage of main memories as the primary repository of data because of the vulnerability of the content to errors, particularly, software related errors. Current research often neglects this point and focuses instead on the technological issues of the silicon memories content volatility. Transaction processing performance is mostly evaluated on the basis of throughput (i.e., transaction per second) provided that the average response time does not exceed 1 s. Most update intensive applications can be classified as transaction processing and therefore driven by throughput considerations. We will show that large memories have little effect on throughput. Given this point of view, there is very little (if any) performance advantage in using main memories for transaction processing. Consequently, the potential of the immense memory system is for improving the performance of those (non-updating) applications that execute complex queries. The coexistence of query applications with the updating transactions is a realistic view of most business systems as well as many engineering and scientific applications. By taking these facts into consideration, a new vision of in-memory databases is created. In this approach, hardware architecture changes are shown to be less important than the use of proper algorithms and software systems.
41|1||A simulation model for the primary copy strategy in distributed INGRES|In distributed INGRES, the primary copy strategy based on two-phase locking is used to solve the concurrency control (cc) problem. To observe the behaviors of the transactions in distributed INGRES, a simulation model is proposed and a simulation is conducted in this paper. Furthermore, to observe how the primary copy sites for fragments influence the performance of distributed INGRES, we derive a method to select the primary copy sites such that the system has shorter average processing time per transaction, higher throughput, and fewer deadlocks. The experimental results obtained from the simulation show that the primary copy sites selected by the method generate the best results under low conflict ratio or long inter-arrival time.
41|1||Satisfying timing constraints of real-time databases|A real-time database has deadlines for processing transactions. Approximate query processing (AQP) has been presented as a strategy to satisfy these timing constraints by providing approximate answers to queries at the deadline instead of missing deadlines. In order to produce approximate answers, semantic information is maintained about the database and a computational overhead is required. In this paper the performance of AQP is examined to determine its effect on satisfying the timing constraints of real-time databases. Query and update transactions are modeled as periodic tasks with hard deadlines. A lock-based concurrency control is used and the effect of workload characteristics, such as the scheduling algorithm, the number of transactions and the percentage of update transactions, are examined. We compare the number of missed deadlines and approximate answers produced during AQP to the number of missed deadlines occurring during traditional query processing (TQP). Results demonstrate that despite the overhead, fewer deadlines are missed during approximate query processing than during TQP.
41|2|http://www.sciencedirect.com/science/journal/01641212/41/2|Editor's Corner: Software runaways â Some surprising findings1|
41|2||Software design guidelines for event-driven programming|This paper deals with software design principles and guidelines to improve the reusability and maintainability of event-driven (E-D) programs. The paper examines how well the principles of structured software design from the procedural programming field can be applied to the event-driven environment. Taking into account the unique characteristics of event-driven programming (E-DP), additional guidelines that are specific to this field are proposed. The guidelines presented here deal with modularizing event procedures, graphical representation of E-D programs, sharing data between event/general procedures, using user-defined objects, and developing cohesive procedures and forms.
41|2||Dynamic navigation in multiple view software specifications and designs|This paper describes an approach for dynamic navigation among multiple view software specifications and designs. Each view contains graphical and/or textual information about a particular aspect of the system. The paper describes an approach for facilitating access to a specification/design model by mapping the multiple views of the model to an integrated underlying representation and providing a Dynamic Navigation System for navigating through this representation in an application-independent and method-independent fashion. The paper also describes a hypermedia prototype that provides dynamic navigation among the multiple views using different search strategies and paths.
