volume|issue|url|title|abstract
19|1|http://www.sciencedirect.com/science/journal/01674048/19/1|From The Editor|
19|1||Security Views|
19|1||Key Recovery Alliance (KRA) Technology Papers, Special Issue â Introduction|
19|1||Cryptographic Information Recovery Using Key Recovery|AbstractA note to readers: the authors consider that all techniques for key recovery may be viewed as having a position on a broad continuum. The only way to avoid misunderstanding is to identify particular techniques by listing their specific characteristics, rather than using multiply-defined terms. Different characteristics have advantages in different environments, so there is no ‘best’ key recovery technique. The paper notes some typical advantages and disadvantages of several techniques but should not be construed as an endorsement of any particular technique relative to another. Similarly, the authors recognize that terminology may vary from country to country.Cryptographic information recovery techniques provide for the recovery of plaintext from encrypted data. This (exceptional) need arises when the cryptographic keys involved are not available. For example, data files may have been encrypted using a key derived from a now forgotten or misplaced password. Overlapping and confusing terminology has been applied to the techniques of information recovery, including key escrow, key backup, key recovery, and trusted third party (ttp), all of which refer to methods for retrieving, recovering, or re-constructing keys. Even the underlying concept of ‘trust’ has broad meaning. Instead of attempting to ‘define’ these terms precisely, a continuum of functionality is defined. Several generic technologies, together with desirable characteristics of cryptographic information/key recovery techniques, are described. 
19|1||Features, Attributes, Characteristics, and Traits (FACTs) of Key Recovery Schemes/Products|
19|1||Key Recovery Functional Model|AbstractThis document describes a model for key recovery. The means by which plaintext may be recovered or reconstructed from recovered key(s) is not addressed in the key recovery model. The key recovery model is a generalized model that encompasses a wide variety of key recovery systems, including both key backup and encapsulated key recovery information techniques. The key recovery model is a functional model. That is, the components of the model are functional components not system components. 
19|1||Additional Key Recovery Functions|AbstractThis document describes additional functions that may be required by specific implementations of the key recovery model. This document should not be read in isolation, but must be read in conjunction with the Key Recovery Functional Model document. 
19|1||A Common Key Recovery Block Format: Promoting Interoperability Between Dissimilar Key Recovery Mechanisms|AbstractWhen cryptographic products that employ different key recovery mechanisms need to interoperate with one another, one of the major obstacles is the inability of the decryptor product to recognize, and optionally validate, the key recovery information generated by the encryptor product. In this paper, a common Key Recovery Block (KRB) format is being proposed to facilitate interoperability between heterogeneous key recovery systems. The KRB serves as a container for mechanism-specific key recovery information, and supports techniques to identify and optionally validate the contained key recovery information. This specification provides an extensible set of KRB validation techniques - however, it makes no attempt to set a preference for one technique over the others. The choice of validation technique(s) used is determined by the policies (with respect to the use of cryptography and key recovery) that apply to the encryptor and decryptor products. It may be noted that the KRB format specification is independent of the encryption algorithm used to protect the confidentiality of the data, and independent of the communication or storage protocol used to carry the encrypted data.It should also be recognized that the KRB format proposed in this paper is of limited scope. It assumes that the key recovery information can be made available to interested parties along with the encrypted data. There are a number of open issues regarding the techniques that allow key recovery information to be associated with encrypted data (whether the key recovery information and the encrypted data are transmitted over the same channel or separate channels) — these issues are beyond the scope of this proposal. 
19|1||Global Interoperability for Key Recovery|AbstractThis document describes techniques for implementing key recovery. The document then addresses interoperability between encryptors and decryptors using the key encapsulation method of key recovery. The Common Key Recovery Block is presented as a cornerstone for interoperability. The interoperability is summarized in an interoperability matrix for key recovery systems. 
19|1||Public Key Infrastructure: Analysis of Existing and Needed Protocols and Object Formats for Key Recovery|AbstractThis document identifies the impacts to a public key infrastructure (PKI) created by the presence of key recovery, as well as elements in the public key infrastructure needed to support or accommodate key recovery. The key recovery infrastructure includes key recovery techniques based both on (1) encapsulation of key recovery information and (2) key backup. The data applications covered by the study include interactive communication sessions, store-and-forward communications, and data storage. The document identifies and lists elements of existing PKI that support or accommodate key recovery, and it identifies and lists needed changes to PKI to support or accommodate key recovery. 
